,Circuit,contentores,tipo,volume,percentagem,estado,Recolhidos,Fora do Contentor,Uso Comercial,Latitude,Longitude,%_recolhidos,vol_instalado_m3,vol_cont_recolhidos_m3,vol_recolhido_m3
163,2,1,Rectangular c/ rodas,1100,0.25,Bom,1,Não,Não,37.215255,-8.543443,1.0,1.1,1.1,0.275
164,2,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.214284,-8.543438,1.0,1.1,1.1,0.55
165,6,2,Contentor semi-enterrado,3000,0.25,Bom,2,Não,Não,37.154239,-8.556219,1.0,6.0,6.0,1.5
166,3,1,Contentor semi-enterrado,3000,0.25,Bom,1,Não,Não,37.140974,-8.543153,1.0,3.0,3.0,0.75
167,3,2,Contentor semi-enterrado,3000,0.0,Bom,1,Não,Não,37.141181,-8.541624,0.5,6.0,3.0,0.0
168,3,1,Contentor semi-enterrado,3000,0.25,Bom,1,Não,Não,37.14107,-8.540905,1.0,3.0,3.0,0.75
169,6,2,Rectangular c/ rodas,1100,0.5,Bom,2,Não,Não,37.151623,-8.576419,1.0,2.2,2.2,1.1
170,6,2,Rectangular c/ rodas,1100,0.25,Razoável,1,Não,Não,37.148912,-8.587705,0.5,2.2,1.1,0.275
171,3,3,Contentor semi-enterrado,3000,0.25,Bom,1,Não,Não,37.141027,-8.540359,0.3333333333333333,9.0,3.0,0.75
172,6,3,Contentor semi-enterrado,3000,0.5,Razoável,1,Não,Não,37.14753,-8.583949,0.3333333333333333,9.0,3.0,1.5
173,3,2,Contentor semi-enterrado,3000,0.25,Bom,1,Não,Não,37.140448,-8.539526,0.5,6.0,3.0,0.75
174,6,2,Rectangular c/ rodas,1100,0.25,Bom,2,Não,Não,37.144366,-8.586472,1.0,2.2,2.2,0.55
175,3,2,Contentor semi-enterrado,3000,0.25,Bom,2,Não,Não,37.139554,-8.53938,1.0,6.0,6.0,1.5
176,3,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.139575,-8.539424,1.0,6.0,6.0,3.0
177,6,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.14643,-8.586414,1.0,6.0,6.0,4.5
178,3,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.138918,-8.538688,1.0,6.0,6.0,4.5
179,6,3,Contentor semi-enterrado,3000,0.25,Bom,0,Sim,Não,37.143597,-8.583548,0.0,9.0,0.0,0.0
180,6,2,Contentor semi-enterrado,3000,0.25,Razoável,2,Não,Não,37.142409,-8.574635,1.0,6.0,6.0,1.5
181,6,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.142366,-8.573449,1.0,1.1,1.1,0.55
182,3,4,Contentor semi-enterrado,3000,0.5,Bom,3,Não,Não,37.139034,-8.536605,0.75,12.0,9.0,4.5
183,6,1,Rectangular c/ rodas,1100,0.25,Bom,0,Sim,Não,37.141709,-8.5718,0.0,1.1,0.0,0.0
184,6,2,Contentor semi-enterrado,3000,0.5,Bom,0,Não,Não,37.140911,-8.5704,0.0,6.0,0.0,0.0
185,6,2,Contentor semi-enterrado,3000,0.25,Bom,0,Não,Não,37.140866,-8.570036,0.0,6.0,0.0,0.0
186,6,1,Contentor semi-enterrado,3000,0.25,Bom,0,Não,Não,37.140924,-8.569282,0.0,3.0,0.0,0.0
187,6,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.142743,-8.571777,0.5,6.0,3.0,1.5
188,6,1,Rectangular c/ rodas,1100,0.25,Bom,0,Não,Não,37.14327,-8.57327,0.0,1.1,0.0,0.0
189,3,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Sim,37.140068,-8.538156,1.0,6.0,6.0,4.5
190,6,2,Rectangular c/ rodas,1100,0.25,Bom,1,Não,Não,37.143477,-8.574136,0.5,2.2,1.1,0.275
191,6,1,Rectangular c/ rodas,1100,0.25,Bom,1,Não,Não,37.143547,-8.577972,1.0,1.1,1.1,0.275
192,6,2,Rectangular c/ rodas,1100,0.25,Razoável,1,Não,Não,37.144477,-8.5812,0.5,2.2,1.1,0.275
193,3,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.140599,-8.538119,1.0,6.0,6.0,3.0
194,6,1,Contentor semi-enterrado,3000,0.5,Razoável,1,Não,Não,37.135304,-8.59012,1.0,3.0,3.0,1.5
195,6,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.13587,-8.588041,0.5,6.0,3.0,1.5
196,6,1,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Sim,37.136422,-8.586722,1.0,3.0,3.0,3.0
197,3,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Sim,37.141087,-8.53823,1.0,9.0,9.0,6.75
198,6,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.13692,-8.584736,0.5,6.0,3.0,1.5
199,3,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.139411,-8.541279,1.0,6.0,6.0,4.5
200,6,6,Rectangular c/ rodas,1100,1.0,Bom,2,Não,Sim,37.135882,-8.58449,0.3333333333333333,6.6000000000000005,2.2,2.2
201,6,4,Rectangular c/ rodas,1100,0.5,Bom,2,Não,Não,37.137582,-8.585724,0.5,4.4,2.2,1.1
202,6,2,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.139269,-8.584903,0.5,6.0,3.0,2.25
203,3,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.139933,-8.54196,1.0,3.0,3.0,2.25
204,6,1,Rectangular c/ rodas,1100,0.5,Razoável,1,Não,Não,37.140118,-8.584685,1.0,1.1,1.1,0.55
205,3,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.140133,-8.542603,1.0,9.0,9.0,6.75
206,6,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.138488,-8.582094,1.0,2.2,2.2,1.6500000000000001
