Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
123,2021-07-08 18:37:40+00:00,37.172173,-8.552499,113.12184,6.968,8.4627285,13.97994,6.0,54.63695334613462,30,4.335
124,2021-07-08 18:37:46+00:00,37.172623,-8.552293,113.520065,7.504,9.278809,25.789717,6.0,53.262674937899156,30,4.388
125,2021-07-08 18:37:52+00:00,37.173084,-8.552014,115.760056,11.256,8.444009,23.326342,6.0,56.91002745399824,30,4.445
126,2021-07-08 18:38:07.610000+00:00,37.17323,-8.551936,125.86714,12.542,1.3251734,194.53139,15.61,17.64422059308565,30,4.463
127,2021-07-08 18:38:13+00:00,37.17336,-8.552007,123.75782,12.9,3.7797308,335.0258,5.39,15.764827192272325,30,4.479
128,2021-07-08 18:38:19+00:00,37.17347,-8.552436,120.3729,8.04,8.042937,266.70514,6.0,39.92948879985242,30,4.519
129,2021-07-08 18:38:25+00:00,37.173344,-8.553015,115.758224,8.04,7.205066,242.20572,6.0,53.17894556552769,30,4.572
130,2021-07-08 18:38:31+00:00,37.173195,-8.553339,113.93805,7.504,1.9788612,239.27545,6.0,33.14489828648309,31,4.605
131,2021-07-08 18:38:34+00:00,37.17315,-8.55339,120.98177,7.504,3.450722,225.09343,3.0,6.74212085017383,31,4.612
132,2021-07-08 18:38:37+00:00,37.173058,-8.553454,126.52272,16.134,2.1954942,212.86407,3.0,11.69641641479606,31,4.623
133,2021-07-08 18:38:40.616000+00:00,37.172943,-8.553472,130.29352,14.436,3.765479,192.40317,3.616,12.88648556559653,31,4.636
134,2021-07-08 18:38:46+00:00,37.17267,-8.553503,126.019516,10.785,4.4716597,169.65294,5.384,30.48022206129319,31,4.667
135,2021-07-08 18:38:50.651000+00:00,37.172535,-8.553466,122.141426,17.453,3.1471176,173.7915,4.651,15.365113581191615,31,4.682
136,2021-07-08 18:40:16+00:00,37.172295,-8.553475,118.314995,13.412,6.521933,177.09186,85.349,26.69869353372631,32,4.709
137,2021-07-08 18:40:22+00:00,37.171955,-8.553357,116.48345,8.04,7.09182,141.35057,6.0,39.22529977799393,32,4.748
138,2021-07-08 18:40:28+00:00,37.171818,-8.55297,113.73742,6.968,3.5760794,103.928505,6.0,37.521030068931516,32,4.786
139,2021-07-08 18:40:31+00:00,37.171806,-8.552841,114.90321,7.504,3.7271216,106.92757,3.0,11.507429471759897,33,4.797
140,2021-07-08 18:40:34+00:00,37.171795,-8.552745,114.72381,16.419,2.111079,116.09967,3.0,8.593397395792588,33,4.806
141,2021-07-08 18:40:37.601000+00:00,37.17169,-8.552701,118.857414,12.159,4.658216,176.93289,3.601,12.309149754406453,33,4.818
142,2021-07-08 18:40:43+00:00,37.171326,-8.552787,111.18495,14.66,8.519722,194.229,5.399,41.18597751424664,33,4.859
143,2021-07-08 18:40:46+00:00,37.171127,-8.552875,114.12913,8.04,5.643946,193.00403,3.0,23.461339744396756,33,4.883
144,2021-07-08 18:40:52+00:00,37.170948,-8.553111,117.77322,10.72,7.370313,278.5073,6.0,28.868951011744507,33,4.912
145,2021-07-08 18:40:58+00:00,37.171158,-8.553805,115.31853,8.04,8.757475,285.0781,6.0,65.77563572895747,33,4.977
146,2021-07-08 18:41:01+00:00,37.17124,-8.554103,116.71545,8.04,8.694836,283.51367,3.0,27.933964186910075,33,5.005
147,2021-07-08 18:41:07+00:00,37.171528,-8.554576,105.974815,6.432,8.702001,316.75003,6.0,52.744231324342984,33,5.058
148,2021-07-08 18:41:10+00:00,37.171772,-8.554689,106.12542,6.968,8.831509,356.6548,3.0,28.919981982078085,33,5.087
149,2021-07-08 18:41:16+00:00,37.172264,-8.5546055,108.99824,9.112,8.421563,2.201179,6.0,55.205889420270566,33,5.142
150,2021-07-08 18:41:22+00:00,37.172684,-8.554528,107.766815,4.094,7.8688536,5.978263,6.0,47.20398218586605,33,5.189
151,2021-07-08 18:43:18.988000+00:00,37.17279,-8.554524,105.20207,8.792,1.4019474,152.46046,116.988,11.791989297953034,35,5.201
152,2021-07-08 18:43:25+00:00,37.172447,-8.55453,112.364815,7.504,7.5181274,181.9971,6.012,38.14356461023823,35,5.239
